waktu,username,title text,label
2022-06-06 03:03:32+00:00,GoRiauCom,Pelaku Pemukulan Brutal Terhadap Anak Anggota DPR di Tol Ditangkap,true
2022-06-06 03:03:31+00:00,NgobrolO,Panglima Didukung Segera Tumpas Teroris KKB di Papua. Indonesia Sambut G20,true
2022-06-06 03:03:18+00:00,NRumbrewar,CCIPP tingkatkan kualitas SDM untuk dukung IKN melalui diklat,true
2022-06-06 03:03:15+00:00,NRumbrewar,Survei SMRC: Kepuasan pada Kerja Jokowi Naik Jadi 76.7%,true
2022-06-06 03:02:55+00:00,farrel27,Erick Thohir ajak Puan Retno dan Triawan ke Sarinah Mereka melihat-lihat sejumlah karya seni yang dipajang di pusat perbelanjaan,true
2022-06-06 03:02:51+00:00,fkusnadi25,Dokter meninggal usai Vaksin,true
2022-06-06 03:02:50+00:00,zakierivaldi1,Cuaca Buruk Harga Cabai dan Bawang Merah di Bandung Melonjak,true
2022-06-06 03:02:12+00:00,republikaonline,Achoy mendapatkan lima suara dari tujuh yang tersedia di Musprovlub Bola Tangan DKI,true
2022-06-06 03:02:09+00:00,jawapos,Jalan Menuju Wisata Desa Mangli Rusak Pengunjung: Berwisata ke Jeglongan Sewu,true
2022-06-06 03:02:02+00:00,ryolandafit,Ridwan Kamil Ungkap Sosok Eril yang Dekat dengan Anak Yatim dan Duafa,true
2022-06-06 03:02:02+00:00,RILISonline,Harga Tiket Naik Candi Borobudur Rp750 Ribu Senator DIY: Yang Tidak Mampu Lihat dari Bawah,clickbait
2022-06-06 03:02:02+00:00,GoSumbarcom,UMKM Binaan Baznas Ramaikan Ajang Internasional Formula E,true
2022-06-06 03:01:49+00:00,sinergi_bna,Setda Banda Aceh: Aminullah: Asmabar Adakan Rapat Penguatan Organisasi,true
2022-06-06 03:01:48+00:00,ryolandafit,Hasto Kristiyanto berpendapat foto bersama Puan Maharani dan Anies Baswedan saat menyaksikan balapan mobil balap listrik kelas dunia itu sudah menjadi kecenderungan di masyarakat,true
2022-06-06 03:01:24+00:00,PojokShooter,Candesartan merupakan obat yang membantu menjaga tekanan darah tetap terkendali. Obat ini juga dapat mengobati gagal jantung. Ini dosis dan efek sampingnya:,true
2022-06-06 03:01:24+00:00,ryolandafit,Dalam video yang diunggah tampak momen kebersamaan Atalia dan sang putra. Kalimat 'Cuma Rindu' turut disematkan dalam unggahan itu,true
2022-06-06 03:01:21+00:00,ANTARASumsel,Top Gun: Maverick kuasai lagi box office Amerika di pekan kedua,true
2022-06-06 03:01:17+00:00,detik_sumut,Listrik Padam Sejak Kemarin Pelajar di Pelalawan Sulit Belajar,true
